109LA;7;CLASS=3.2.1.17;-68812.31;7708.832;-544.7582;-36.37605;-172.8049;-74.66452;-47.13086;-53.72164;-20.97210;-63.10186;35.74973;24.3717;-6.520746;8.439762;-70.9065
110LA;11;CLASS=3.2.1.17;-68905.73;7722.012;-546.4983;-28.28127;-172.3536;-77.20156;-49.3942;-53.14778;-15.63754;-61.6671;38.93989;15.18787;-7.090211;10.94096;-84.79719
120LA;27;CLASS=3.2.1.17;-68232.26;7458.097;-511.6465;-42.1543;-163.4287;-86.78404;-44.72652;-53.36504;-3.476692;-46.91703;21.15645;-9.210604;-1.935566;8.728006;-61.95994
130LA;38;CLASS=3.2.1.17;-68846.11;7712.871;-556.8367;-31.21895;-168.6834;-79.19893;-53.78191;-51.95245;-25.98390;-53.4015;41.17835;36.99785;5.499056;10.00542;-76.73597
131LA;39;CLASS=3.2.1.17;-68861.39;7766.408;-571.668;-11.04432;-179.6046;-70.37573;-53.93535;-56.82989;-38.34951;-60.77095;48.03619;44.92473;3.87666;9.53885;-82.47197
133LA;41;CLASS=3.2.1.17;-52788.81;7510.67;-75.72459;106.3963;39.5037;25.98086;-51.43522;36.95921;-7.255295;-38.83803;25.99740;-21.19554;-15.46137;29.95827;-57.03998
135LA;43;CLASS=3.2.1.17;-52743.56;7962.91;-174.9546;30.6351;85.74632;67.30196;-48.55744;9.90285;-16.63615;-31.71799;71.58505;-27.57174;-6.781727;-2.233062;-50.58746
152LA;71;CLASS=3.2.1.17;-72017.08;7837.292;-418.8728;2.342063;-163.5215;-77.87065;-44.93056;-50.37272;1.442226;-18.32125;60.49854;43.74839;17.56743;-7.066594;-92.5648
158LA;77;CLASS=3.2.1.17;-68897.12;7751.087;-561.3513;-17.15592;-164.6928;-74.92473;-51.3934;-53.02082;-23.99278;-50.99471;44.86976;34.61410;4.941904;4.768673;-80.03735
162LA;81;CLASS=3.2.1.17;-68911.23;7761.09;-549.5645;-17.76242;-157.8016;-74.15285;-49.2745;-59.29079;-23.90851;-53.83901;44.11225;30.02618;6.512182;3.707863;-76.94297
171LA;102;CLASS=3.2.1.17;-69525.51;7846.124;-534.2256;4.798728;-147.0242;-63.30795;-42.26893;-39.36878;-40.74415;-35.53702;60.45439;41.04872;18.84735;12.01301;-46.00972
176LB;110;CLASS=3.2.1.17;-69687.54;7676.99;-571.2001;-59.24766;-182.0252;-81.1935;-45.09528;-53.60071;-42.41703;-77.98904;32.78927;48.17195;59.3809;35.31020;-80.97094
182LA;118;CLASS=3.2.1.17;-68782.87;7629.027;-512.913;-57.22848;-169.0009;-97.40241;-55.30557;-53.45236;-29.0627;-66.03728;47.49265;37.48482;3.009023;-1.88139;-64.04915
1A0DD;157;CLASS=5.3.1.5;-275062.7;-491.8051;186.6182;264.1499;9.64918;-364.0559;-156.8265;-22.00387;-135.3979;76.78194;-34.95371;31.51009;64.06944;50.18019;-79.29012
1A0GA;162;CLASS=2.6.1.21;-154772.2;7201.654;-301.9186;-95.96439;-30.87619;81.684;-26.43785;26.35023;92.49942;-32.63969;-39.78715;1.563514;39.60802;0.6840791;51.33588
1A0HD;166;CLASS=3.4.21.5;-42585.09;5123.235;-1236.199;354.8458;203.3521;-45.6633;79.4093;9.308144;-72.4003;30.31711;59.8781;-18.49601;-9.450357;20.62086;-64.03631
1A0JB;170;CLASS=3.4.21.4;-128102.8;9410.766;870.2216;-224.4388;-102.8737;147.5947;99.56682;35.31822;-36.62100;17.29312;3.137298;5.638263;-36.531;11.58418;75.969
